id,amenity,barrier,recycling_type,waste,lon,lat
way/762013001,recycling,fence,centre,,10.7295816475782,45.4017141341824
node/2835350450,waste_basket,,,,10.732501,45.3550269
node/2835350451,recycling,,container,,10.7325227,45.3550255
node/2835354753,waste_basket,,,,10.7324936,45.3552224
node/3620790018,waste_basket,,,,10.7390101,45.3504171
node/3620790022,waste_basket,,,,10.7389893,45.3502573
node/5503045233,waste_basket,,,trash,10.7239504,45.3537059
node/7669091740,waste_basket,,,,10.7915061,45.3536905
node/7826315686,waste_basket,,,,10.7203878,45.3519634
node/7826453087,waste_basket,,,,10.7194308,45.3501878
node/7826456987,waste_basket,,,,10.7236622,45.3533069
